L. Messi,mid age,good,expensive,good,good,fast,Medium,€110.5M,€565K,110500000.0,565000.0,RF,goalkeeper
Cristiano Ronaldo,old,good,average,good,good,fast,High,€77M,€405K,77000000.0,405000.0,ST,striker
Neymar Jr,mid age,good,expensive,good,average,fast,High,€118.5M,€290K,118500000.0,290000.0,LW,midfielder
K. De Bruyne,mid age,good,expensive,good,good,fast,High,€102M,€355K,102000000.0,355000.0,RCM,midfielder
E. Hazard,mid age,good,expensive,good,good,fast,High,€93M,€340K,93000000.0,340000.0,LF,striker
L. Modrić,mid age,good,average,good,good,fast,High,€67M,€420K,67000000.0,420000.0,RCM,midfielder
L. Suárez,mid age,good,expensive,good,good,fast,High,€80M,€455K,80000000.0,455000.0,RS,striker
Sergio Ramos,mid age,good,average,good,good,fast,High,€51M,€380K,51000000.0,380000.0,RCB,defender
R. Lewandowski,mid age,good,average,good,good,fast,High,€77M,€205K,77000000.0,205000.0,ST,striker
T. Kroos,mid age,good,average,good,average,fast,Medium,€76.5M,€355K,76500000.0,355000.0,LCM,midfielder
D. Godín,mid age,good,average,good,good,average,Medium,€44M,€125K,44000000.0,125000.0,CB,defender
David Silva,mid age,good,average,good,good,fast,High,€60M,€285K,60000000.0,285000.0,LCM,midfielder
N. Kanté,mid age,good,average,good,good,fast,Medium,€63M,€225K,63000000.0,225000.0,LDM,midfielder
P. Dybala,young,good,expensive,good,good,fast,High,€89M,€205K,89000000.0,205000.0,LF,striker
H. Kane,young,good,expensive,good,good,fast,High,€83.5M,€205K,83500000.0,205000.0,ST,striker
A. Griezmann,mid age,good,average,good,good,fast,High,€78M,€145K,78000000.0,145000.0,CAM,midfielder
Sergio Busquets,mid age,good,average,good,average,average,Medium,€51.5M,€315K,51500000.0,315000.0,CDM,midfielder
E. Cavani,mid age,good,average,good,good,fast,High,€60M,€200K,60000000.0,200000.0,LS,striker
S. Agüero,mid age,good,average,good,good,fast,High,€64.5M,€300K,64500000.0,300000.0,ST,striker
G. Chiellini,old,good,cheap,good,good,average,Medium,€27M,€215K,27000000.0,215000.0,LCB,defender
K. Mbappé,young,good,expensive,good,good,fast,High,€81M,€100K,81000000.0,100000.0,RM,midfielder
M. Salah,mid age,good,average,good,good,fast,High,€69.5M,€255K,69500000.0,255000.0,RM,midfielder
Casemiro,mid age,good,average,good,good,average,Medium,€59.5M,€285K,59500000.0,285000.0,CDM,midfielder
J. Rodríguez,mid age,good,average,good,average,fast,Medium,€69.5M,€315K,69500000.0,315000.0,LAM,midfielder
L. Insigne,mid age,good,average,good,average,fast,High,€62M,€165K,62000000.0,165000.0,LW,midfielder
Isco,mid age,good,average,good,average,fast,High,€73.5M,€315K,73500000.0,315000.0,LW,midfielder
C. Eriksen,mid age,good,average,good,average,fast,High,€73.5M,€205K,73500000.0,205000.0,CAM,midfielder
Coutinho,mid age,good,average,good,good,fast,High,€69.5M,€340K,69500000.0,340000.0,LW,midfielder
P. Aubameyang,mid age,good,average,good,good,fast,Medium,€59M,€265K,59000000.0,265000.0,LM,midfielder
M. Hummels,mid age,good,average,good,average,average,High,€46M,€160K,46000000.0,160000.0,LCB,defender
Marcelo,mid age,good,average,good,good,fast,High,€43M,€285K,43000000.0,285000.0,LB,defender
G. Bale,mid age,good,average,good,good,fast,High,€60M,€355K,60000000.0,355000.0,ST,striker
G. Higuaín,mid age,good,average,good,good,fast,High,€57M,€245K,57000000.0,245000.0,LS,striker
Thiago Silva,old,good,cheap,good,good,average,Medium,€24M,€165K,24000000.0,165000.0,RCB,defender
S. Umtiti,young,good,average,good,good,fast,Medium,€57M,€205K,57000000.0,205000.0,CB,defender
M. Icardi,mid age,good,average,good,good,fast,Medium,€64.5M,€130K,64500000.0,130000.0,ST,striker
