L. Messi,medium,high,high,high,high,Argentina,FC Barcelona,5.0,2021,€226.5M,94,high,Medium/ Medium,€110.5M,€565K,110500000.0,565000.0,RF,striker
Cristiano Ronaldo,medium,high,medium,high,high,Portugal,Juventus,5.0,2022,€127.1M,94,high,High/ Low,€77M,€405K,77000000.0,405000.0,ST,striker
Neymar Jr,medium,high,high,high,high,Brazil,Paris Saint-Germain,5.0,2022,€228.1M,92,high,High/ Medium,€118.5M,€290K,118500000.0,290000.0,LW,midfielder
De Gea,medium,high,medium,high,medium,Spain,Manchester United,4.0,2020,€138.6M,91,medium,Medium/ Medium,€72M,€260K,72000000.0,260000.0,GK,goalkeeper
K. De Bruyne,medium,high,high,high,high,Belgium,Manchester City,4.0,2023,€196.4M,91,high,High/ High,€102M,€355K,102000000.0,355000.0,RCM,midfielder
E. Hazard,medium,high,high,high,high,Belgium,Chelsea,4.0,2020,€172.1M,91,high,High/ Medium,€93M,€340K,93000000.0,340000.0,LF,striker
L. Modrić,medium,high,medium,high,high,Croatia,Real Madrid,4.0,2020,€137.4M,91,high,High/ High,€67M,€420K,67000000.0,420000.0,RCM,midfielder
L. Suárez,medium,high,high,high,high,Uruguay,FC Barcelona,5.0,2021,€164M,91,high,High/ Medium,€80M,€455K,80000000.0,455000.0,RS,striker
Sergio Ramos,medium,high,medium,high,high,Spain,Real Madrid,4.0,2020,€104.6M,91,high,High/ Medium,€51M,€380K,51000000.0,380000.0,RCB,defender
J. Oblak,low,high,medium,high,high,Slovenia,Atlético Madrid,3.0,2021,€144.5M,90,medium,Medium/ Medium,€68M,€94K,68000000.0,94000.0,GK,goalkeeper
R. Lewandowski,medium,high,medium,high,high,Poland,FC Bayern München,4.0,2021,€127.1M,90,high,High/ Medium,€77M,€205K,77000000.0,205000.0,ST,striker
T. Kroos,medium,high,medium,high,high,Germany,Real Madrid,4.0,2022,€156.8M,90,high,Medium/ Medium,€76.5M,€355K,76500000.0,355000.0,LCM,midfielder
D. Godín,medium,high,medium,high,high,Uruguay,Atlético Madrid,3.0,2019,€90.2M,90,medium,Medium/ High,€44M,€125K,44000000.0,125000.0,CB,defender
David Silva,medium,high,medium,high,high,Spain,Manchester City,4.0,2020,€111M,90,high,High/ Medium,€60M,€285K,60000000.0,285000.0,LCM,midfielder
N. Kanté,medium,high,medium,high,high,France,Chelsea,3.0,2023,€121.3M,89,high,Medium/ High,€63M,€225K,63000000.0,225000.0,LDM,midfielder
P. Dybala,low,high,high,high,high,Argentina,Juventus,3.0,2022,€153.5M,89,high,High/ Medium,€89M,€205K,89000000.0,205000.0,LF,striker
H. Kane,low,high,high,high,high,England,Tottenham Hotspur,3.0,2024,€160.7M,89,high,High/ High,€83.5M,€205K,83500000.0,205000.0,ST,striker
A. Griezmann,medium,high,medium,high,high,France,Atlético Madrid,4.0,2023,€165.8M,89,high,High/ High,€78M,€145K,78000000.0,145000.0,CAM,midfielder
M. ter Stegen,medium,high,medium,high,high,Germany,FC Barcelona,3.0,2022,€123.3M,89,medium,Medium/ Medium,€58M,€240K,58000000.0,240000.0,GK,goalkeeper
T. Courtois,medium,high,medium,high,medium,Belgium,Real Madrid,4.0,2024,€113.7M,89,medium,Medium/ Medium,€53.5M,€240K,53500000.0,240000.0,GK,goalkeeper
Sergio Busquets,medium,high,medium,high,high,Spain,FC Barcelona,4.0,2023,€105.6M,89,high,Medium/ Medium,€51.5M,€315K,51500000.0,315000.0,CDM,midfielder
E. Cavani,medium,high,medium,high,high,Uruguay,Paris Saint-Germain,4.0,2020,€111M,89,high,High/ High,€60M,€200K,60000000.0,200000.0,LS,striker
M. Neuer,medium,high,low,high,high,Germany,FC Bayern München,5.0,2021,€62.7M,89,medium,Medium/ Medium,€38M,€130K,38000000.0,130000.0,GK,goalkeeper
S. Agüero,medium,high,medium,high,high,Argentina,Manchester City,4.0,2021,€119.3M,89,high,High/ Medium,€64.5M,€300K,64500000.0,300000.0,ST,striker
G. Chiellini,medium,high,low,high,high,Italy,Juventus,4.0,2020,€44.6M,89,high,Medium/ High,€27M,€215K,27000000.0,215000.0,LCB,defender
